湖北卫视,rtp://239.253.254.45:8000
吉林卫视,rtp://239.253.254.46:8000
江西卫视,rtp://239.253.254.47:8000
山西卫视,rtp://239.253.254.48:8000
陕西卫视,rtp://239.253.254.49:8000
四川卫视,rtp://239.253.254.50:8000
甘肃卫视,rtp://239.253.254.52:8000
宁夏卫视,rtp://239.253.254.53:8000
青海卫视,rtp://239.253.254.54:8000
CETV1 (HD),rtp://239.253.254.110:8000
CETV2,rtp://239.253.254.107:8000
CETV4,rtp://239.253.254.108:8000
SDETV (HD),rtp://239.253.254.59:8000
西藏卫视,rtp://239.253.254.56:8000
兵团卫视,rtp://239.253.254.57:8000
内蒙古卫视,rtp://239.253.254.58:8000
新疆卫视,rtp://239.253.254.60:8000
KaKu少儿,rtp://239.253.254.61:8000
金鹰卡通,rtp://239.253.254.62:8000
炫动卡通,rtp://239.253.254.63:8000
优漫卡通,rtp://239.253.254.64:8000
嘉佳卡通,rtp://239.253.254.65:8000
动漫秀场,rtp://239.253.254.66:8000
农林卫视,rtp://239.253.254.70:8000
山东购物,rtp://239.253.254.104:8000
东南卫视,rtp://239.253.254.41:8000
厦门卫视,rtp://239.253.254.106:8000
CETV1,rtp://239.253.254.55:8000
CCTV 1,rtp://239.253.254.1:8000
CCTV 2,rtp://239.253.254.3:8000
CCTV 4,rtp://239.253.254.5:8000
CCTV 7,rtp://239.253.254.8:8000
CCTV 9,rtp://239.253.254.10:8000
CCTV 10,rtp://239.253.254.11:8000
CCTV 12,rtp://239.253.254.13:8000
CCTV 14,rtp://239.253.254.15:8000
山东卫视,rtp://239.253.254.2:8000
山东齐鲁,rtp://239.253.254.18:8000
山东影视,rtp://239.253.254.19:8000
山东生活,rtp://239.253.254.20:8000
山东综艺,rtp://239.253.254.21:8000
湖南卫视,rtp://239.253.254.27:8000
江苏卫视,rtp://239.253.254.28:8000
浙江卫视,rtp://239.253.254.29:8000
北京卫视,rtp://239.253.254.31:8000
东方卫视,rtp://239.253.254.32:8000
辽宁卫视,rtp://239.253.254.36:8000
黑龙江卫视,rtp://239.253.254.37:8000
广东卫视,rtp://239.253.254.39:8000
河北卫视,rtp://239.253.254.43:8000
贵州卫视,rtp://239.253.254.51:8000
海看大片,rtp://239.253.254.134:8000
239.253.254.116:8000,rtp://239.253.254.116:8000
239.253.254.117:8000,rtp://239.253.254.117:8000
239.253.254.118:8000,rtp://239.253.254.118:8000
239.253.254.119:8000,rtp://239.253.254.119:8000
239.253.254.120:8000,rtp://239.253.254.120:8000
239.253.254.121:8000,rtp://239.253.254.121:8000
239.253.254.122:8000,rtp://239.253.254.122:8000
239.253.254.123:8000,rtp://239.253.254.123:8000
239.253.254.147:8000,rtp://239.253.254.147:8000
239.253.254.161:8000,rtp://239.253.254.161:8000
239.253.254.162:8000,rtp://239.253.254.162:8000
239.253.254.163:8000,rtp://239.253.254.163:8000
239.253.254.164:8000,rtp://239.253.254.164:8000
239.253.254.165:8000,rtp://239.253.254.165:8000
239.253.254.166:8000,rtp://239.253.254.166:8000
239.253.254.168:8000,rtp://239.253.254.168:8000
239.253.254.169:8000,rtp://239.253.254.169:8000
239.253.254.171:8000,rtp://239.253.254.171:8000
